ASSETNUM;DESCRIPTION;PLUSTMODEL;PLUSTYEAR;ORGID;STATUS;ALNVALUE;DESCRIPTION_1;ASSETTYPE
3891;S 519 HD Euro 6;631;2016;EURO;OPERATING;1;Diesel;FLEET
3892;S 519 HD Euro 6;631;2016;EURO;OPERATING;1;Diesel;FLEET
3957;IVECO C 45 EURO 5;638;2012;EURO;OPERATING;1;Diesel;FLEET
3963;IVECO C 45 EURO 5;638;2012;EURO;OPERATING;1;Diesel;FLEET
3964;IVECO C 45 EURO 5;638;2012;EURO;OPERATING;1;Diesel;FLEET
4041;VOLVO B11R 4x2 Euro 6;596;2017;EURO;OPERATING;1;Diesel;FLEET
4042;VOLVO B11R 4x2 Euro 6;596;2017;EURO;OPERATING;1;Diesel;FLEET
4043;VOLVO B11R 4x2 Euro 6;596;2017;EURO;OPERATING;1;Diesel;FLEET
4044;VOLVO B11R 6x2 Euro 6;491;2017;EURO;OPERATING;1;Diesel;FLEET
4045;VOLVO B11R 6x2 Euro 6;491;2017;EURO;OPERATING;1;Diesel;FLEET
4046;VOLVO B11R 6x2 Euro 6;491;2017;EURO;OPERATING;1;Diesel;FLEET
4047;VOLVO B11R 6x2 Euro 6;491;2017;EURO;OPERATING;1;Diesel;FLEET
4048;SETRA S 431 DT D. PISO EURO VI;658;2016;EURO;OPERATING;1;Diesel;FLEET
4282;VDL FUTURA FHD2 EURO VI;797;2016;EURO;OPERATING;1;Diesel;FLEET
4287;Wolkswagen Crafter Unvi S20 Euro VI;906;2023;EURO;OPERATING;1;Diesel;FLEET
4326;Scania Touring HD Euro VI;782;2017;EURO;OPERATING;1;Diesel;FLEET
4330;Scania Touring HD Euro VI;782;2019;EURO;OPERATING;1;Diesel;FLEET
4331;MAN Lion's Coach;775;2021;EURO;OPERATING;1;Diesel;FLEET
4332;MAN Lion's Coach;775;2021;EURO;OPERATING;1;Diesel;FLEET
4333;MAN Lion's Coach;775;2021;EURO;OPERATING;1;Diesel;FLEET
4334;MAN Lion's Coach;775;2021;EURO;OPERATING;1;Diesel;FLEET
4336;MAN Lion's Coach;775;2021;EURO;OPERATING;1;Diesel;FLEET
4337;MAN Lion's Coach;775;2021;EURO;OPERATING;1;Diesel;FLEET
4338;MAN Lion's Coach;775;2021;EURO;OPERATING;1;Diesel;FLEET
4339;MAN Lion's Coach;775;2021;EURO;OPERATING;1;Diesel;FLEET
4340;MAN Lion's Coach;775;2021;EURO;OPERATING;1;Diesel;FLEET
4341;MAN Lion's Coach;775;2022;EURO;OPERATING;1;Diesel;FLEET
4342;MAN Lion's Coach;775;2022;EURO;OPERATING;1;Diesel;FLEET
4343;MAN Lion's Coach;775;2022;EURO;OPERATING;1;Diesel;FLEET
4344;MAN Lion's Coach;775;2022;EURO;OPERATING;1;Diesel;FLEET
4345;MAN Lion's Coach;775;2022;EURO;OPERATING;1;Diesel;FLEET
4346;MAN Lion's Coach;775;2022;EURO;OPERATING;1;Diesel;FLEET
4347;MAN Lion's Coach;775;2022;EURO;OPERATING;1;Diesel;FLEET
4355;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
4356;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
4357;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
4358;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
4359;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
4360;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
4688;S 519 HD-SUPRA  Euro 6;642;2017;EURO;OPERATING;1;Diesel;FLEET
4696;S 519 HD Euro 6;631;2017;EURO;OPERATING;1;Diesel;FLEET
4699;S 519 HD Euro 6;631;2017;EURO;OPERATING;1;Diesel;FLEET
4700;S 519 HD Euro 6;631;2017;EURO;OPERATING;1;Diesel;FLEET
4931;IVECO CROSSWAY;723;2017;EURO;OPERATING;1;Diesel;FLEET
4932;IVECO CROSSWAY;723;2017;EURO;OPERATING;1;Diesel;FLEET
4933;IVECO CROSSWAY;723;2017;EURO;OPERATING;1;Diesel;FLEET
4934;IVECO CROSSWAY;723;2017;EURO;OPERATING;1;Diesel;FLEET
4941;IRIZAR I6;500;2012;EURO;OPERATING;1;Diesel;FLEET
4943;IRIZAR I6;500;2014;EURO;OPERATING;1;Diesel;FLEET
4944;MB Sprinter 516 CDI;425;2016;EURO;OPERATING;1;Diesel;FLEET
4945;MB Sprinter 516 CDI;425;2016;EURO;OPERATING;1;Diesel;FLEET
4947;OTOKAR NAVIGO T;726;2016;EURO;OPERATING;1;Diesel;FLEET
4948;OTOKAR NAVIGO T;726;2016;EURO;OPERATING;1;Diesel;FLEET
4950;OTOKAR NAVIGO T;726;2017;EURO;OPERATING;1;Diesel;FLEET
4990;MB Sprinter 516 CDI;425;2017;EURO;OPERATING;1;Diesel;FLEET
4991;MB Sprinter 516 CDI;425;2017;EURO;OPERATING;1;Diesel;FLEET
4992;Unvi Vega;425;2015;EURO;OPERATING;1;Diesel;FLEET
4993;Unvi Vega;425;2015;EURO;OPERATING;1;Diesel;FLEET
4994;Unvi Vega;425;2015;EURO;OPERATING;1;Diesel;FLEET
4995;Unvi Vega;425;2015;EURO;OPERATING;1;Diesel;FLEET
6041;SETRA S417GTHD Euro 4;251;2007;EURO;OPERATING;1;Diesel;FLEET
6551;SETRA S419GTHD Euro 5;401;2009;EURO;OPERATING;1;Diesel;FLEET
6552;SETRA S419GTHD Euro 5;401;2009;EURO;BAJA;1;Diesel;FLEET
7371;ISUZU P75 Silman;956;2024;EURO;OPERATING;1;Diesel;FLEET
7372;Isuzu P75 Silman;956;2024;EURO;OPERATING;1;Diesel;FLEET
7373;Isuzu P75 Silman;956;2024;EURO;OPERATING;1;Diesel;FLEET
