ASSETNUM;DESCRIPTION;PLUSTMODEL;PLUSTYEAR;ORGID;STATUS;ALNVALUE;DESCRIPTION_1;ASSETTYPE
10646;SCANIA K490 EB 6X2 D. PISO EURO VI;512;2021;EURO;OPERATING;1;Diesel;FLEET
10647;SCANIA K490 EB 6X2 D. PISO EURO VI;512;2021;EURO;OPERATING;1;Diesel;FLEET
10648;SCANIA K490 EB 6X2 D. PISO EURO VI;512;2021;EURO;OPERATING;1;Diesel;FLEET
10649;SCANIA K490 EB 6X2 D. PISO EURO VI;512;2021;EURO;OPERATING;1;Diesel;FLEET
10657;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10658;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10659;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10660;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10661;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10662;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10663;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10664;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10713;MB NEW TOURISMO RHD Euro VI;737;2020;EURO;OPERATING;1;Diesel;FLEET
10715;MB NEW TOURISMO RHD Euro VI;737;2020;EURO;OPERATING;1;Diesel;FLEET
10720;MB NEW TOURISMO RHD Euro VI;737;2020;EURO;OPERATING;1;Diesel;FLEET
10739;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
10740;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
10744;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
10751;S 419 UL VI;284;2020;EURO;OPERATING;1;Diesel;FLEET
10793;MB TOURISMO 17 RHD EURO VI;763;2020;EURO;OPERATING;1;Diesel;FLEET
10794;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;1;Diesel;FLEET
10795;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;1;Diesel;FLEET
10796;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;1;Diesel;FLEET
10797;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;1;Diesel;FLEET
10798;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;1;Diesel;FLEET
10799;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;1;Diesel;FLEET
10800;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;1;Diesel;FLEET
10801;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;1;Diesel;FLEET
10802;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;1;Diesel;FLEET
10804;MB OC500 RF 1946 i6;516;2020;EURO;OPERATING;1;Diesel;FLEET
10805;MB OC500 RF 1946 i6;516;2020;EURO;OPERATING;1;Diesel;FLEET
10812;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10813;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10814;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10815;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10816;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10817;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10818;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10819;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10820;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10821;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10822;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10823;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10824;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10825;S 519 HD Euro 6;631;2022;EURO;OPERATING;1;Diesel;FLEET
10828;S 519 HD Euro 6;631;2020;EURO;OPERATING;1;Diesel;FLEET
10866;Scania Touring HD Euro VI;782;2020;EURO;OPERATING;11;ECO_Diesel-GLP;FLEET
10867;Scania Touring HD Euro VI;782;2021;EURO;OPERATING;11;ECO_Diesel-GLP;FLEET
10883;MB TOURISMO Euro VI;332;2023;EURO;OPERATING;1;Diesel;FLEET
